descripcion,categoria
POS SAGA FALABELLA,Compras
SHELL.COM,Transporte
ONLINE TOTTUS CHILE,Alimentación
AMAZON PRIME VIDEO COD210288,Ocio
DEBITO AUTOMATICO COMISION MANTENIMIENTO CUENTA,Servicios
PAGO BERSHKA,Compras
SANITAS EPS AUTORIZ 405808,Servicios
PETROPERU TARJETA 8317,Transporte
MASSIMO DUTTI.COM,Compras
COMPRA DENTAL PLUS PUEBLA,Salud
PAGO ONLINE TECNOLOGICO DE MONTERREY,Educación
WEB CHINA TOWN,Alimentación
WEB SANTA FE MALL,Compras
MOVISTAR FIBRA AUT923833,Servicios
CLARO INTERNET 30-05-2025,Servicios
VIVANDA LATAM,Alimentación
ONLINE COSTANERA CENTER,Compras
SCOOTER MOO 10/01/25,Transporte
PROMART HOME CENTER 12/08,Vivienda
MERCADO LIBRE AUT174287,Compras
WEB PLAZA VEA SHOP,Compras
NRO OP 717161 AT&T MEXICO,Servicios
PAGO PENSION UNIVERSIDAD TARJETA 1396,Educación
PAGO ONLINE TRANSMILENIO,Transporte
SANCOR SEGUROS LATAM,Servicios
ESTACIONAMIENTO STORE,Transporte
TRANSF A CLARO,Servicios
LIBRERIA CRISOL 14MAR,Educación
DEBITO AUTOMATICO ANALISIS CLINICOS UNIDOS,Salud
PAGO CENTRO MMEDICO SAN FELIPE,Salud
PLIN*BAUTISTA 668977,Servicios
COMPRA TC VEA SUPERMERCADO,Alimentación
COMPRA LINKEDIN LEARNING PALERMO,Educación
LABORATORIO ROE APROB164621,Salud
CARGO AUTOPISTA NORTE,Transporte
NRO OP 265282 RIFA BENEFICA,Otros
ANTICUCHOS DON JORGE 29-11-2024,Alimentación
APP SUBTE BUENOS AIRES,Transporte
ADIDAS STORE VISA,Compras
NRO OP 575329 FARMACIA SIMILARES,Salud
MAX.COM TARJETA 8585,Ocio
CONCIERTO LIVE NATION.COM,Ocio
MODO*DÉBORA,Servicios
COURSERA LIMA,Educación
NRO OP 552987 DIDI FOOD,Alimentación
SUBWAY LATAM,Alimentación
DEBITO AUTOMATICO MOVISTAR FIBRA,Servicios
WOM FIBRA REF112049,Servicios
SORTEO LOTERIA LATAM,Otros
TRX EDENOR,Servicios
MAKRO MASTERCARD,Alimentación
APP UNIMARC,Alimentación
POLLERIA NORKYS #220237,Alimentación
7 ELEVEN QR,Alimentación
REF EL CORRAL,Alimentación
REF FARMACIA GUADALAJARA,Salud
PLAZA NORTE CABA,Compras
POS IZZI TELECOM,Servicios
RETIRO ADIDAS STORE,Compras
COMPRA EXITO LAS CODNES,Alimentación
WEB CHNA WOK,Alimentación
LA COMER COD085653,Alimentación
MERCADO PAGO*FELICIANO,Servicios
YAPE*MARISOL 600819,Servicios
APP ARA,Alimentación
DEBITO AUTOMATICO HOSPITAL ANGELES,Salud
DAVIPLATA*CALIXTO,Alimentación
RREF EPM,Servicios
PAGO SERV FERIA DEL LIBRO,Ocio
AMZN MKTPLACE COD140991,Compras
COMPRA TC TRANSANTIAGO,Transporte
SUBTE BUENOS AIRES SAN ISIDRO,Transporte
ONLINE POLLERIA NORKYS,Alimentación
ADIDAS STORE.COM,Compras
TRANSF A SEGUROS BOLIVAR,Servicios
DIA REF545899,Alimentación
MAX.COM 16/05/24,Ocio
PULL BEAR*559220,Compras
H&M*842119,Compras
PAGO ONLINE BUS EJECUTIVO,Transporte
BERSHKA COD956137,Compras
KARAOKE BOX AUT144636,Ocio
EPM QR,Servicios
MAKRO TARJETA 9135,Alimentación
COMPRA WEB CHINA TOWN,Alimentación
PEDIDOSYA SAN ISIDRO,Alimentación
TRX AMZN MKTPLACE,Compras
MUNDO MARINO 19/04/25,Ocio
PAGO ONLINE SEGUROS BOLIVAR,Servicios
WEB CODENSA,Servicios
PAGO HOMECENTER,Vivienda
COMPRA MAPFRE SEGUROS,Servicios
TRANSF A PAGO MATIRCULA,Educación
UDEMY STORE,Educación
COPEC ABR,Transporte
HOMECENTER CALI,Vivienda
CLINICA SANNA STORE,Salud
WOM LIMA,Servicios
COD CRUZ VERDE,Salud
WEB VEA SUPERMERCADO,Alimentación
COMPRA COSTANERA CENTER BUCARAMANGA,Compras
SAGA FALABELLA MEXICO,Compras
COD BURGER KING,Alimentación
COMPRA POS STARBUCKS,Alimentación
ANTICUCHOS DON JORGE 09/07/24,Alimentación
NRO OP 858504 HOMECENTER,Vivienda
COMPRA WEB PALACIO DE HIERRO,Compras
OPTICA GMO*362032,Salud
JOCKEY PLAZA REF540607,Compras
TECNOLOGICO DE MONTERREY OP481482,Educación
NRO OP 670401 JUMBO,Alimentación
PRESTO OD943319,Alimentación
PETROPERU AGO,Transporte
CHINA TOWN OCT,Alimentación
MASSIMO DUTTI AUTORIIZ 180840,Compras
TRANSF A BATA,Compras
FALABELLA*928620,Compras
WONG.COM,Alimentación
COMPRA POS AT&T MEXICO,Servicios
GYM SMARTFIT REF978874,Ocio
PAGO SERV METRO CDMX,Transporte
AT&T MEXICO ENVIGADO,Servicios
CARGO TWITCH,Ocio
TRANSF A IN DRIVE,Transporte
CONSULTORIO DENTAL SONRIE STORE,Salud
FERIA DEL LIBRO #935247,Ocio
YAPE*FABRICIO,Alimentación
COMPRA INTL CLINICA RICARDO PALMA,Salud
CHILIS PERU,Alimentación
YAPE*ARTEMIO,Alimentación
COMPRA SUBTE BUENOS AIRES VITACURA,Transporte
DUNKIN TARJETA 3096,Alimentación
UDEMY TARJETA 9719,Educación
CODENSA 14-08-2024,Servicios
ENEL DIC,Servicios
HBO MAX COLOMBIA,Ocio
CHINA TOWN LIMA,Alimentación
COPEC*581563,Transporte
SUBWAY VISA,Alimentación
ALQUILER DEPARTAMENTO OP320655,Vivienda
POS HOMECENTER,Vivienda
COMPRA MUNDO MARINO,Ocio
TRANSF A MAKRO,Alimentación
METRO DE LIMA MIRAFLORES,Transporte
APP SEDAPAL,Servicios
PAGO SERV MAESTRO HOME CENTER,Vivienda
OSDE PREPAGA #474819,Servicios
TRANSF A DEEZER,Ocio
COMPRA INTL SCOOTER MOVO,Transporte
VIVANDA*307030,Alimentación
DB CHEDRAUI,Alimentación
PLAZA VESTIR FEB,Compras
ML*COMPRA STORE,Compras
APP COPA AIRLINES,Transporte
PARAMOUNT PLUS OP935319,Ocio
COMPRA MANTTO CONJUNTO LA MOLINA,Vivienda
MERCADO PAGO*ISABELA 954766,Alimentación
CLINICA RICARDO PALMA MX,Salud
DEBITO AUTOMATICO LA REBAJA VIRTUAL,Salud
METRO DE LIMA OP818459,Transporte
PAGO EBAY,Compras
PAGO SERV SEDAPAL,Servicios
CLARO SHOP MIRAFLORES,Compras
METRO CDMX AUTORIZ 043392,Transporte
TRX COPEC,Transporte
METRO CDMX*324850,Transporte
COMPRA TC PETROPERU,Transporte
AMAZON PRIME VIDEO APROB562078,Ocio
PEDIDOSYA.COM,Alimentación
VTR*721226,Servicios
WEB DISCO,Alimentación
AMAZON PRIME VIDEO JUN,Ocio
PAGO SERV ANALISIS CLINICOS UNIDOS,Salud
PRIMAX TARJETA 4369,Transporte
SWISS MEDICAL CDMX,Servicios
METRO APROB828061,Alimentación
SURA SEGUROS QR,Servicios
BEMBOS REF290378,Alimentación
PAGO ZARA,Compras
COMPRA YPF,Transporte
DAVIPLATA*CIRIACO,Servicios
FARMATODO LATAM,Salud
PAYLESS LIMA,Compras
CLINICA LAS AMERICAS 17JUN,Salud
CARGO STARBUCKS,Alimentación
DB SEDAPAL,Servicios
MERCADO LIBRE CHILE,Compras
PAGO ONLINE MAESTRO HOME CENTER,Vivienda
PAGO ONLINE ESTACIONAMIENTO,Transporte
WOM FIBRA.COM,Servicios
APP PARKING PLUS,Transporte
SEARS COD955128,Compras
SPORTLIFE GYM LATAM,Ocio
MODO*BERNARDO 528843,Otros
TOTTUS VISA,Alimentación
CARGO COPA AIRLINES,Transporte
ONLINE AGUAS ANDINAS,Servicios
COMPRA SCOOTER MOVO TIJUANA,Transporte
STARBUCKS AUTORIZ 741530,Alimentación
COMPRA TAXI DATUM MEDELLIN,Transporte
COMPRA AT&T MEXICO PALERMO,Servicios
TRANSF A VTR,Servicios
SODIMAC CONSTRUCCION REF083985,Vivienda
WEB EL CORRAL,Alimentación
CARGO H&M,Compras
AT&T MEXICO.COM,Servicios
ONLINE TAXI DATUM,Transporte
CFE MONTERREY,Servicios
DB PLAYCENTER,Ocio
TEMU 24-05-2024,Compras
FARMACIA BENAVIDES AUTORIZ 373884,Salud
COMPRA PLAZA VESTIR MAIPU,Compras
PRIMAX AUT692438,Transporte
COD RIMAC SEGUROS,Servicios
CASA DE CAMBIO TARJETA 6275,Otros
SAGA FALABELLA OP991956,Compras
SANTA ISABEL REF416562,Alimentación
METRO DE LIMA.COM,Transporte
REF RETIRO CAJERO,Otros
PLAZA VESTIR REF603493,Compras
RETIRO CRUZ VERDE,Salud
COD OECHSLE,Compras
POS HOSPITAL ITALIANO,Salud
DB AMZN MKTPACE,Compras
PARQUE EXPLORA LIMA,Ocio
MASSIMO DUTTI MASTERCARD,Compras
COD APPLE.COM,Compras
POS CONCIERTO LIVE NATION,Ocio
LA POLAR QR,Compras
COMPRA POS CONSULTORIO DENTAL SONRIE,Salud
ONLINE DISNEY PLUS,Ocio
CARGO AGUAS ANDINAS,Servicios
ANTICUCHOS DON JORGE TARJETA 0145,Alimentación
OPTICA LA INEES APROB355588,Salud
COMPRA TC COTO,Alimentación
IN DRIVER ABR,Transporte
REF CODENSA,Servicios
YAPE*ASUNCIÓN,Otros
TAXI DATUM #977288,Transporte
BODYTECH GYM #436178,Ocio
TIGO ABR,Servicios
PAGO ONLINE ANALISIS CLINICOS UNIDOS,Salud
CLARO SHOP STORE,Compras
COMISION MANTENIMIENTO CUENTA 14/04/25,Servicios
POS BURGER KING,Alimentación
LA COMER AUTORIZ 214114,Alimentación
UNIMARC #544281,Alimentación
WEB MAPFRE SEGUROS,Servicios
YAPE*RITA 361910,Alimentación
SORIANA*199510,Alimentación
TRANSF A PALACIO DE HIERRO,Compras
COMPRA INTL TOTTUS,Alimentación
FARMACIAS DEL AHORRO 02MAR,Salud
COMPRA LATAM AIRLINES MENDOZA,Transporte
PAGO SERV CLARO SHOP,Compras
BATA AUT661540,Compras
DEBITO AUTOMATICO BEMBOS,Alimentación
MAX.COM LIMA,Ocio
DEBITO AUTOMATICO PLAZAS EXITO ROPA,Compras
NRO OPP 764817 PLAZA VEA SHOP,Compras
TRUPER FERRETERIA QR,Vivienda
CARGO BEMBOS,Alimentación
IZZI TELECOM APROB240487,Servicios
AVANTEL CHILE,Servicios
COMPRA NIKE STORE,Compras
DB G500,Transporte
CARGO METRO SANTIAGO,Transporte
FARMACIA GUADALAJARA STORE,Salud
COMPRA POS COPA AIRLINES,Transporte
MAX.COM*346511,Ocio
CARGO PEAJE RUTA,Transporte
DEPOSITO VARIOS PE,Otros
UNIMARC 11/02,Alimentación
COURSERA MONTERREY,Educación
PRIMAX*416938,Transporte
PANADERIA SAN JORGE REF692306,Alimentación
DEB 7 ELEVEN,Alimentación
PLIN*JUAN JOSÉ,Servicios
COMPRA POS FERIA DEL LIBRO,Ocio
COMPRA AVIANCA CDMX,Transporte
LA POSITIVA SEGUROS AREQUIPA,Servicios
H&M LATAM,Compras
MERCADO PAGO*JOSE ANGEL,Servicios
EXITO APROB623132,Alimentación
DEBITO AUTOMATICO FARMACIA INKAFARMA,Salud
DOMINOS PIZZA CO,Alimentación
TIGO OP138004,Servicios
STARBUCKS 06OCT,Alimentación
COMPRA WEB IN DRIVER,Transporte
UBER TRIP TARJETA 1018,Transporte
COMPRA POS MAPFRE SEGUROS,Servicios
CROSSFIT BOX ARGENTINA,Ocio
PAGO SERV OECHSLE,Compras
ONLINE PEAJE RUTAS DEL SOL,Transporte
GAS NATURAL #364684,Servicios
PAGO ONLLINE PAGO ARRIENDO,Vivienda
MERCADO PAGO*EUSEBIA 002945,Alimentación
WEB PLATZI,Educación
COMPRA INTL DIDI FOOD,Alimentación
IZZI TELECOM AUT034258,Servicios
NRO OP 353803 EDENOR,Servicios
EL CORRAL STORE,Alimentación
POS KFC,Alimentación
COD BODYTECH GYM,Ocio
SANTA FE MALL LATAM,Compras
COMPRA MCDONALDS QUERETARO,Alimentación
MERCADO PAGO*FERNANDO,Alimentación
APP COMISION INTERBANCARIA,Servicios
RIFA BENEFICA AUT022329,Otros
APP LATAM AIRLINES,Transporte
CREDITO VIVIENDA APROB587192,Vivienda
XBOX LIVE OP827853,Ocio
NRO OP 543760 MAPFRE SEGUROS,Servicios
POS CLARO SHOP,Compras
COMPRA INTL MOVISTAR FIBRA,Servicios
NIKE STORE VITACURA,Compras
DEBITO AUTOMATICO DENTAL PLUS,Salud
ONLINE MAKRO,Alimentación
PLAYSTATION STORE COD185687,Ocio
PRIMAX*615162,Transporte
TRANSF A EL CORRAL,Alimentación
DIDI FOOD JUL,Alimentación
CLINICA RICARDO PALMA VISA,Salud
WEB AT&T MEXICO,Servicios
PAGO ONLINE CREDITO VIVIENDA,Vivienda
AT&T MEXICO VISA,Servicios
ONLINE DUNKIN,Alimentación
PAGO ONLINE SANITAS EPS,Servicios
PEAJE RUTAS DEL SOL PUEBLA,Transporte
KFC APROB286888,Alimentación
COMPRA WEB DEEZER,Ocio
CARGO PLAZA VESTIR,Compras
DEB UNIMARC,Alimentación
POS ALQUILER DEPARTAMENTO,Vivienda
COMPRA TOTTUS,Alimentación
DEPOSITO VARIOS MASTERCARD,Otros
COMISION INTERBANCARIA LIMA,Servicios
MERCADO PGAO*MARÍA JESÚS 732794,Alimentación
PAGO HIPOTECARIO 24/06/24,Vivienda
OECHSLE #737171,Compras
COMPRA NETFLIX.COM QUERETARO,Ocio
REF HOMECENTER,Vivienda
SEDAPAL QR,Servicios
ONLINE PROMART HOME CENTER,Vivienda
PLAZAS EXITO ROPA MASTERCARD,Compras
CONCIERTO LIVE NATION SAN ISIDRO,Ocio
DB ALQUILER DEPARTAMENTO,Vivienda
COD COSTANERA CENTER,Compras
TRANSF A 7 ELEVEN,Alimentación
MERCADO LIBRE LIMA,Compras
CARGO VTR,Servicios
DAVIPLATA*NYDIA,Alimentación
RETIRO LA POLAR,Compras
COMPRA POS SRA SEGUROS,Servicios
CARREFOUR*782536,Alimentación
COMPRA POS TIGO,Servicios
DAVIPLATA*PERLITA,Alimentación
DEB EL CORRAL,Alimentación
OXX.COM,Alimentación
PLIN*ROSALINDA,Servicios
COMPRA TC PARKING PLUS,Transporte
DEBITO AUTOMATICO RIPLEY,Compras
DB MANTENIMIENTO TARJETA,Servicios
TRX PERSONAL ARG,Servicios
LA POLAR #514982,Compras
SANITAS EPS LIMA,Servicios
PAGO SERV CLARO,Servicios
LIVERPOOL MIRAFLORES,Compras
SANTA ISABEL 04/08,Alimentación
MOVISTAR FIBRA REF904758,Servicios
FERRETERIA EL TORNILLO TOLUCA,Vivienda
COMPRA PEDIDOSYA,Alimentación
FARMATODO AUT026823,Salud
PAGO ONLINE EXITO,Alimentación
DEB CINEPLANET,Ocio
TOTTUS AUT746988,Alimentación
COMPRA TC ANTICUCHOS DON JORGE,Alimentación
CARGO PAGO ARRIENDO,Vivienda
PAGO ARRIENDO CHILE,Vivienda
TRANSF A DUNKIN,Alimentación
NRO OP 668973 TWITCH,Ocio
PAGO SERV MIFARMA,Salud
LABORATORIO CLINICO ROCHE SANTIAGGO,Salud
COD ALLIANZ SEGUROS,Servicios
REF SORTEO LOTERIA,Otros
INDRIVE TARJETA 5990,Transporte
ONLINE CARULLA,Alimentación
DEBITO AUTOMATICO LABORATORIO ROE,Salud
AMZN MKTPLACE AUT633239,Compras
CREDITO VIVIENDA #886053,Vivienda
COMPRA POS DIDI FOOD,Alimentación
COMPRA POS UNIVERSIDAD ANDES,Educación
PAGO SERV ANTICUCHOS DON JORGE,Alimentación
PAGO ONLINE PARDOS CHICKEN,Alimentación
ZARA CHICLAYO,Compras
PARQUE ARAUCO*824101,Compras
PLAZA NORTE STORE,Compras
CINEPOLIS REF371231,Ocio
TRX G500,Transporte
PARDOS CHICKEN MASTERCARD,Alimentación
NEQUI*CAROLINA,Servicios
LA REBAJA VIRTUAL LIMA,Salud
PAGO CINEMARK,Ocio
EDITORIAL SANTILLANA OP486144,Educación
IN DRIVER OP152210,Transporte
ANALISIS CLINICOS UNIDOS VISA,Salud
GYM SMARTFIT STORE,Ocio
COMPRA WEB BERSHKA,Compras
TECNOLOGICO DE MONTERREY #709614,Educación
REF DISNEY PLUS,Ocio
TRANSF A ENEX,Transporte
REF CARREFOUR,Alimentación
NRO OP 075656 PARKING PLUS,Transporte
IZZI TELECOM PE,Servicios
TAXI DATUM #609389,Transporte
ITUZAINGO PEAJE MASTERCARD,Transporte
EDESUR QR,Servicios
FARMACIAS DEL AHORRO LIMA,Salud
LA POLAR*135855,Compras
SIT MEDELLIN COD382811,Transporte
ALQUILER DEPARTAMENTO PERU,Vivienda
DISCOTECA CLUB AUT217427,Ocio
YPF AUTORIZ 423674,Transporte
SAGA FALABELLA MIRAFLORES,Compras
SPORTLIFE GYM STORE,Ocio
DB PULL BEAR,Compras
POS GAS NATURAL,Servicios
SPOTIFY 07MAR,Ocio
COMPRA TC ICPNA,Educación
POS WOM FIBRA,Servicios
COMPRA POS HBO MAX,Ocio
IN DRIVER.COM,Transporte
JUAN VALDEZ MASTERCARD,Alimentación
AUTOPISTA NORTE #103429,Transporte
COD PARQUE DE LAS LEYENDAS,Ocio
KFC MIRAFLORES,Alimentación
WEB PARQUE EXPLORA,Ocio
SUBTE BUENOS AIRES MAY,Transporte
BUS EJECUTIVO COD365526,Transporte
FERIA DEL LIBRO SAN ISIDRO,Ocio
DEB TRUPER FERRETERIA,Vivienda
COMPRA INTL PRIMAX,Transporte
MERCADO LIBRE PROVIDENCIA,Compras
DB MERCADO SHOPS,Compras
CARGO LIBRERIA GANDHI,Educación
CARGO PLAZA NORTE,Compras
COMPRA PAGO HIPOTECARIO,Vivienda
COMPRA TC CONSULTORIO DENTAL SONRIE,Salud
ANALISIS CLINICOS UNIDOS AUT644111,Salud
LUZ DEL SUR MIRAFLORES,Servicios
ONLINE TACO BELL,Alimentación
TRX CINEMARK,Ocio
COD PARQUE ARAUCO,Compras
NRO OP 895078 CONCIERTO LIVE NATION,Ocio
LIVERPOOL AUTORIZ 738390,Compras
COMPRA TC YOUTUBE PREMIUM,Ocio
GASCO MASTERCARD,Servicios
SODIMAC CONSTRUCCION LIMA,Vivienda
HBO MAX REF103568,Ocio
DEBITO AUTOMATICO ML*COMPRA,Compras
SPORTLIFE GYM OP287710,Ocio
TRANSF A UNIVERSIDAD PACIFICO,Educación
COMPRA CROSSFIT BOX,Ocio
REF METRO,Alimentación
TRANSF A TRANSMILENIO,Transporte
TRANSF A AT&T MEXICO,Servicios
COMPRA PEAJE RUTAS DEL SOL MENDOZA,Transporte
TECNOLOGICO DE MONTERREY TARJETA 8273,Educación
COMPRA WEB METRO DE LIMA,Transporte
GYM SMARTFIT*015994,Ocio
FARMACIA BENAVIDES SAN ISIDRO,Salud
DISNEY PLUS AUT316303,Ocio
COMPRA SANTA ISABEL NUNOA,Alimentación
RETIRO PEAJE RUTA,Transporte
TICKETMASTER MIRAFLORES,Ocio
SANCOR SEGUROS AUT830648,Servicios
REPSOL SAN ISIDRO,Transporte
CARGO AMAZON,Compras
COMPRA TC SEDAPAL,Servicios
COMPRA POS STEAM GAMES,Ocio
RETIRO SANCOR SEGUROS,Servicios
EASY CONSTRUCCION SAN ISIDRO,Vivienda
SANTA ISABEL AUTORIZ 732418,Alimentación
ADMINISTRACION EDIFICIO AUTORIZ 066242,Vivienda
DAVIPLATA*ISIDORO,Servicios
PAGO ONLINE ALLIANZ SEGUROS,Servicios
VEA SUPERMERCADO LIMA,Alimentación
FARMACIA SIMILARES VITACURA,Salud
LA POSITIVA SEGUROS QR,Servicios
ONLINE FARMACIA GUADALAJARA,Salud
CLARO INTERNET AUT439713,Servicios
TRX TRUPE FERRETERIA,Vivienda
COMPRA FERRETERIA EL TORNILLO COYOACAN,Vivienda
CONCIERTO LIVE NATION COLOMBIA,Ocio
COMPRA RIMAC SEGUROS MAR DEL PLATA,Servicios
VTR LATAM,Servicios
COMPRA SWISS MEDICAL TRUJILLO,Servicios
DB CRUZ VERDE,Salud
XBOX LIVE TARJETA 9900,Ocio
SHEIN MASTERCARD,Compras
DEB ENTEL,Servicios
PAGO ARRIENDO*258275,Vivienda
COMPRA TC MMETRO CDMX,Transporte
DEB CLARO INTERNET,Servicios
TRANSF A CENTRO MEDICO SAN FELIPE,Salud
ENEX COD726722,Transporte
MERCADO SHOPS LIMA,Compras
TRX MANTENIMIENTO TARJETA,Servicios
ONLINE SANTA FE MALL,Compras
COMPRA INTL LUZ DEL SUR,Servicios
ONLINE TELMEX INTERNET,Servicios
YAPE*EMELINA,Alimentación
COMPRA INTL AGUAS ANDINAS,Servicios
PAGO PENSION UNIVERSIDAD SAN ISIDRO,Educación
MUSEO INTERACTIVO 26/01/25,Ocio
XBOX LIVE 14JUL,Ocio
PAGO ONLIN EDEPOSITO VARIOS,Otros
APP EL CORRAL,Alimentación
COMPRA TC OXXO,Alimentación
AP COTO,Alimentación
COMPRA ENEX LIMA,Transporte
DEBITO AUTOMATICO PAGO HIPOTECARIO,Vivienda
ONLINE ENEL,Servicios
SANCOR SEGUROS OP267226,Servicios
OLIMPICA TARJETA 2257,Alimentación
TEMU BUENOS AIRES,Compras
CHILIS SAN ISIDRO,Alimentación
ICPNA LIMA,Educación
MUNDO MARINO*149841,Ocio
METRO SANTIAGO STORE,Transporte
COMPRA WEB PULL BEAR,Compras
DAVIPLATA*ADOLFO 390323,Alimentación
WALMART APROB042242,Alimentación
MOVISTAR OP855128,Servicios
TRANSF A SWISS MEDICAL,Servicios
METRO APROB856138,Alimentación
ADIDAS STORE AUT975084,Compras
BEMBOS LIMA,Alimentación
MUSEO INTERACTIVO ARGENTINA,Ocio
PLAZA NORTE SAN ISIDRO,Compras
SANCOR SEGUROS.COM,Servicios
COMPRA INTL BERSHKA,Compras
RETIRO TICKETMASTER,Ocio
PAGO ONLINE RIPLEY,Compras
PAGO KFC,Alimentación
PAGO ONLINE SURA SEGUROS,Servicios
RETIRO MOVISTAR,Servicios
DEB BUS EJECUTIVO,Transporte
ANTICUCHOS DON JORGE LATAM,Alimentación
COMPRA WEB CLARO INTERNET,Servicios
SIT MEDELLIN.COM,Transporte
COD FERIA DEL LIBRO,Ocio
COMPRA SEGUROS BOLIVAR NUNOA,Servicios
SANITAS EPS QR,Servicios
COMPRA WEB PANADERIA SAN JORGE,Alimentación
PAGO SERV CUOTA CONDOMINIO,Vivienda
PAGO MCDONALDS,Alimentación
WEB SPORTLIFE GYM,Ocio
INDRIVE*619970,Transporte
CHINA WOK SAN ISIDRO,Alimentación
OECHSLE SAN ISIDRO,Compras
CARGO TELMEX INTERNET,Servicios
TRANSF A SAGA FALABELLA,Compras
ONLINE CINEPLANET,Ocio
PARAMOUNT PLUS QR,Ocio
DOMINOS PIZZA 18-10-2024,Alimentación
CONCIERTO LIVE NATION LIMA,Ocio
PAGO ICPNA,Educación
COMPRA MUSEO INTERACTIVO LIMA,Ocio
APP GIRO INTERNACIONAL,Otros
METRO SANTIAGO*694067,Transporte
POS PEAJE RUTA,Transporte
CLARO INTERNET STORE,Servicios
PLAYCENTER COD391889,Ocio
PARKING PLUS*443788,Transporte
DEB MASSIMO DUTTI,Compras
COMPRA WEB CLARO SHOP,Compras
DDEB METRO DE LIMA,Transporte
DAVIPLATA*CRISTIAN,Alimentación
COMPRA PLAYSTATION STORE PROVIDENCIA,Ocio
COMPRA WEB TAXI DATUM,Transporte
PAGO SCOOTER MOVO,Transporte
COMPRA POS CLARO,Servicios
PAGO SERV EDESUR,Servicios
BATA CO,Compras
ALQUILER DEPARTAMENTO*224672,Vivienda
TEATRO MUNICIPAL AUT574106,Ocio
IN DRIVER APROB432988,Transporte
AEROMEXICO VISA,Transporte
TRANSF A MOVISAR FIBRA,Servicios
TRX PEAJE RUTA,Transporte
WOM GUADALAJARA,Servicios
MERCADO SHOPS TARJETA 6098,Compras
WEB MCDONALDS,Alimentación
TECNOLOGICO DE MONTERREY MASTERCARD,Educación
COMPRA TICKETMASTER CHAPINERO,Ocio
UNIVERSIDAD PACIFICO REF893146,Educación
CHEDRAUI AUT207626,Alimentación
TRX SALCOBRAND,Salud
CHEDRAUI SAN ISIDRO,Alimentación
DB SHELL,Transporte
ENVIO WESTERN UNION OP087185,Otros
PUMA ENERGY AUT860010,Transporte
CARREFOUR MASTERCARD,Alimentación
DEB AGUAS ANDINAS,Servicios
ENTEL JUN,Servicios
TELMEX INTERNET TARJETA 6768,Servicios
LATAM AIRLINES QR,Transporte
DB PAO PENSION COLEGIO,Educación
IN DRIVER OP158884,Transporte
NEQUI*CARIDAD,Alimentación
APP ENEL,Servicios
PLAZAS EXITO ROPA.COM,Compras
AMAZON #937526,Compras
PEDIDOSYA TARJETA 9889,Alimentación
COSTANERA CENTER LATAM,Compras
UBER EATS*181128,Alimentación
COMPRA INTL VEA SUPERMERCADO,Alimentación
MCDOALDS.COM,Alimentación
OPTICA LA INES 15-01-2025,Salud
COD CLINICA SANNA,Salud
NRO OP 100947 BERSHKA,Compras
JUAN VALDEZ*344498,Alimentación
LIBRERIA GANDHI LATAM,Educación
ONLINE TEMU,Compras
COMPRA POS ZARA,Compras
OXXO #736951,Alimentación
NIKE STORE.COM,Compras
TRX AJUSTE CONTABLE,Otros
VEA SUPERMERCADO AUT786125,Alimentación
COMPRA WEB EXITO,Alimentación
GYM SMARTFIT REF043028,Ocio
CUOTA CONDOMINIO REF333347,Vivienda
WALMART REF764132,Alimentación
APP ITUZAINGO PEAJE,Transporte
COD TACO BELL,Alimentación
CODENSA 06-06-2024,Servicios
PLIN*PORFIRIO 086186,Servicios
PAGO ONLINE CRUZ DEL SUR,Transporte
COMISION MANTENIMIENTO CUENTA.COM,Servicios
COMPRA TC OPTICA LA INES,Salud
YAPE*EMILIO,Alimentación
PAGO ONLINE AMZN MKTPLACE,Compras
COMPRA NETFLIX.COM,Ocio
PANADERIA SAN JORGE AUT863506,Alimentación
APP OPTICA GMO,Salud
TRX AMAZON PRIME VIDEO,Ocio
TRX PEMEX,Transporte
PULL BEAR 17-10-2024,Compras
TRANSF A ANTICUCHOS DON JORGE,Alimentación
LABORATORIO CLINICO ROCHE APROB585328,Salud
COMPRA CLINICA SHAIO CORDOBA,Salud
COMPRA POS LATAM AIRLINES,Transporte
BUS EJECUTIVO COD297643,Transporte
RETIRO BAR EL BOTIJON,Ocio
TRANSMILENIO PE,Transporte
COMPRA CEVICHERIA EL RINCON TIJUANA,Alimentación
POLLERIA NORKYS 27-05-2025,Alimentación
DEB EDESUR,Servicios
PAGO ONLINE SANCOR SEGUROS,Servicios
EDENOR OP823015,Servicios
STARBUCKS VISA,Alimentación
KFC*500372,Alimentación
CLINICA LAS AMERICAS VISA,Salud
TERPEL AUT976547,Transporte
DB CINE COLOMBIA,Ocio
YAPE*FELICIANA,Servicios
COMPRA WEB ADMINISTRACION EDIFICIO,Vivienda
ADIDAS STORE MASTERCARD,Compras
METRO DE LIMA CARTAGENA,Transporte
ONLINE FERRETERIA EL TORNILLO,Vivienda
MAX.COM AUTORIZ 391179,Ocio
APP OECHSLE,Compras
MAPFRE SEGUROS STORE,Servicios
ALLIANZ SEGUROS CL,Servicios
COMPRA WEB VIVANDA,Alimentación
POS AUTOPISTA NORTE,Transporte
PRIMAX O,Transporte
PORTES BANCARIOS VISA,Servicios
PLAZA VESTIR LAS CONDES,Compras
AUTOPISTA NORTE TARJETA 0841,Transporte
WEB POLLERIA NORKYS,Alimentación
COPPEL OP277169,Compras
CARGO TELCEL,Servicios
PEMEX IRAFLORES,Transporte
